출원번호,발명의 명칭,출원일자,CPC,독립항 수,종속항 수
1020220159765,"탄소중립 실현을 위한 메탄가스 절감 및 축우 생산성 향상, 등급율 개선을 위한 기능성 단미사료 조성물 및 이의 제조방법",20221124,A23K 10/18,8,6
1020220159764,이형 부품 삽입기용 부품 공급 장치,20221124,H05K 13/02,3,5
1020220158437,"그래핀 기반 센서, 이를 이용한 측정장치 및 분석방법",20221123,G01N 27/12,6,6
1020220158439,주사기를 이용한 약액 이동 자동화 장치,20221123,B65B 3/00,16,6
1020220157500,전류 필라멘트 분산 유도를 위한 광전도 반도체 스위치,20221122,H01L 31/0352,3,7
1020220157519,혈액 내 감염성 물질 또는 혈전을 제거하는 방법 및 장치,20221122,A61M 1/36,17,0
1020220155211,알루미늄 및 질소를 포함하는 물질의 선택적 증착 방법,20221118,H01L 21/02,1,19
1020220155686,방열 구조를 가진 에어로졸 생성 장치,20221118,A24F 40/40,5,1
1020220155822,"핫 스탬핑 부품, 및 이의 제조 방법",20221118,C23C 2/28,2,4
1020220154693,온-다이-터미네이션 회로를 포함하는 비휘발성 메모리 및 상기 비휘발성 메모리를 포함하는 스토리지 장치,20221117,G11C 16/06,4,14
1020220153543,"그람 음성균의 감소 및 사멸을 위한 광역학 반응용 복합조성물, 및 이를 이용한 항균 조성물, 살균 조성물 및 살균방법",20221116,A61K 41/00,4,4
1020220153544,"리튬 이차전지용 양극, 이의 제조방법 및 이를 포함한 리튬 이차전지",20221116,H01M 4/131,2,10
1020220152740,유기 발광 표시 장치 및 그 제조방법,20221115,H10K 50/80,2,18
1020220151984,"반도체 설비의 설정 파형 발생기, 플라즈마 처리 장치, 플라즈마 처리 장치의 제어 방법 및 반도체 장치의 제조 방법",20221114,H01J 37/32,2,8
1020220146398,갈바닉 분리를 제공하는 집적 회로 및 이를 포함하는 반도체 패키지,20221104,H01L 23/64,12,0
1020220145516,가변피치형 픽업 장치,20221103,B65G 47/90,2,23
1020220145513,CAD 영상을 활용한 전처리가 구현된 딥러닝 검사시스템,20221103,G01N 21/88,6,17
1020220144727,운용환경 모의 방법 및 시스템,20221102,H04W 24/06,7,8
1020220144616,차량 센서 클리닝 장치 및 그 장치의 제어방법,20221102,B60S 1/56,3,6
1020220143947,위험지역 접근방지용 스마트 안전 경보 방법 및 장치,20221101,G08B 21/02,6,4
1020220143070,보툴리눔 독소 함유 용액으로부터 보툴리눔 독소를 분리하는 방법,20221031,C07K 14/33,9,0
1020220143056,"양극활물질, 이의 제조방법, 및 상기 양극활물질을 포함하는 리튬이차전지",20221031,H01M 4/36,3,17
1020220141611,표시 장치,20221028,H10K 50/80,1,13
1020220141619,USB를 이용한 디지털 핸드 스피커 마이크,20221028,H04R 1/08,8,11
1020220139659,유량 제어 장치,20221026,G05D 7/06,3,0
1020220138622,"대기 보정 방법, 대기 보정 장치 및 상기 방법을 실행시키기 위하여 기록매체에 저장된 컴퓨터 프로그램",20221025,G01N 21/55,9,2
1020220138619,표시 장치의 제조장치 및 표시 장치의 제조방법,20221025,H10K 71/00,1,12
1020220138376,상수 가압 장치,20221025,E03B 7/07,6,0
1020220136837,"교통정보 제공 방법, 장치 및 그러한 방법을 실행하기 위하여 매체에 저장된 컴퓨터 프로그램",20221021,G06Q 50/30,2,5
1020220134809,"리튬 이차전지용 양극, 이의 제조방법 및 이를 포함한 리튬 이차전지",20221019,H01M 4/131,2,8
1020220135236,카메라의 초점을 변경하는 방법 및 장치,20221019,H04N 23/60,2,8
1020220134820,다중 유로가 구비된 밸브 장치,20221019,F16K 27/02,1,3
1020220134446,디바이스를 이용한 화면 처리 방법 및 장치,20221018,G06F 3/01,5,15
1020220134455,보트 로딩 장치 및 이를 포함하는 웨이퍼 처리 시스템,20221018,H01L 21/677,2,7
1020220133020,바이어스된 다중-포트 인젝션 세팅들을 통한 반경 및 두께 제어,20221017,H01L 21/02,5,0
1020220132731,"생분해성 수지 조성물, 성형품의 제조방법 및 생분해성 성형품",20221014,C08L 67/04,3,6
1020220130818,기체 분사구 모듈이 구비된 초음파 검사기의 기포 제거 장치,20221012,G01N 29/22,6,7
1020220130007,디스플레이 장치,20221011,H10K 59/00,2,29
1020220129535,식물 추출물을 바실러스 균주로 발효한 발효물을 포함하는 화장료 조성물,20221011,A61K 8/9789,8,0
1020220129536,이차전지용 실리콘 분말의 제조방법 및 이를 이용하여 제조된 실리콘 분말,20221011,C01B 33/02,6,2
1020220127397,디바이스가 이미지를 보정하는 방법 및 그 디바이스,20221005,G06T 5/00,2,18
