appno,title,applicant,date,cpc,cpc_sec,total_c,ind_n,dep_n,strategy,ind_cats,emb_len,bg_len,tf_len,conn_포함하는,conn_구비하는,conn_이루어지는,structural,functional,bracket_ref,inline_ref,sil_hyeon,sil_ye,yeo_jeong,do_myeon,techproblem,techsolution
1020250069469,스폰지테이프의 박리지 분리장치가 포함된 테이핑헤드¶스폰지테이프의 박리지 분리장치가 포함된 테이핑헤드{Tapi,세진공업 (주)¶주식회사 중원이노베이션,20250528,B65H 41/00,B,6,2,4,⑥ 장치+장치,장치|장치,11251,2304,205,0,0,0,8,0,293,0,False,False,False,False,False,False
1020250031730,차량 소화장치¶차량 소화장치{a vehicle fire extinguisher},주식회사 휴버스,20250311,A62C 3/07,A,44,22,22,⑥ 장치+장치,장치|장치|장치|장치|장치|장치|장치|장치|장치|장치|장치|장치|장치|장치|장치|장치|장치|장치|장치|장치|장치|장치,30971,601,195,24,0,16,40,4,862,27,False,True,False,False,False,False
1020250078613,실내 공조 ESS시스템¶실내 공조 ESS시스템{A ESS System Having Indoor Air Cir,(주)이투지,20250616,H01M 10/627,H,42,6,36,⑥ 장치+장치,시스템|시스템|시스템|시스템|시스템|시스템,36654,841,211,28,0,0,28,14,624,0,False,True,True,False,False,False
1020240190635,반추 동물의 메탄 생성 억제용 조성물{COMPOSITION FOR INHIBITING METHANE PROD,(주) 칼리시,20241218,A23K 20/121,A,40,2,38,⑧ 물건+물건,물건|물건,36254,1344,213,20,0,6,26,0,0,0,False,True,True,False,False,False
1020250001379,태양광을 이용한 울타리 경관조명 시스템,주식회사 달란트리,20250106,F21S 9/03	(2006.01),F,3,1,2,⑨ 장치단독,시스템,3937,264,131,1,0,6,8,0,78,1,False,True,False,False,False,False
1020240170375,기판 처리 장치,주식회사 원익아이피에스,20241126,C23C 16/455	(2006.01),C,16,1,15,⑨ 장치단독,장치,16669,476,69,10,0,0,10,1,231,12,False,True,False,True,False,False
1020240141028,BIPV모듈 불평형 모니터링시스템,(주)이투지,20241016,H02S 50/10	(2014.01),H,5,1,4,⑨ 장치단독,시스템,10989,1057,257,3,0,0,3,0,121,0,False,True,True,False,False,False
1020250027018,외삽에 자유로운 특성화를 위한 반도체 설계 방법 및 이를 수행하는 컴퓨팅 시스템,에스케이하이닉스 주식회사,20250228,G06F 30/3312	(2020.01),G,12,2,10,② 순수형,방법|시스템,23383,1258,88,4,0,0,4,7,179,6,False,True,False,False,False,False
1020250006857,출력 제어 회로 및 이를 포함하는 반도체 장치,에스케이하이닉스 주식회사,20250116,G11C 7/10	(2021.01),G,4,1,3,⑨ 장치단독,장치,12917,104,60,0,0,1,1,0,138,8,False,True,False,True,False,False
1020250006876,"위상 보정 회로, 이를 포함하는 클럭 버퍼 및 반도체 장치",에스케이하이닉스 주식회사,20250116,G11C 7/22	(2015.01),G,10,2,8,⑥ 장치+장치,장치|장치,17951,372,67,8,0,0,8,0,196,12,False,True,False,True,False,False
1020250038915,분수대용 블럭 조립체 및 이를 포함하는 분수대,주식회사 바론에프앤엘,20250326,B05B 17/08	(2006.01),B,5,2,3,⑨ 장치단독,장치|물건,8807,1874,113,6,0,0,6,0,40,8,False,True,True,False,False,False
1020240141030,스트링 특성을 활용한 BIPV 감시시스템,(주)이투지,20241016,H02S 50/00	(2014.01),H,16,1,15,⑨ 장치단독,시스템,14902,811,288,9,0,0,10,1,103,0,False,True,True,False,False,False
1020240141029,BIPV 화재감시시스템,(주)이투지,20241016,G08B 21/18	(2006.01),G,13,3,10,⑥ 장치+장치,시스템|시스템|시스템,11707,891,256,8,0,0,8,6,129,0,False,True,True,False,False,False
1020250128348,박막 증착 방법 및 이를 이용한 반도체 소자의 제조방법,주식회사 원익아이피에스,20250909,H01L 21/02	(2006.01),H,6,2,4,⑦ 방법+방법,방법|방법,6012,394,111,6,1,0,9,0,100,3,False,True,False,False,False,False
1020240144330,반도체 장치 및 반도체 시스템{SEMICONDUCTOR DEVICE AND SEMICONDUCTOR SYST,에스케이하이닉스 주식회사,20241021,G11C 7/222,G,33,3,30,⑥ 장치+장치,장치|시스템|시스템,19586,318,44,19,0,0,19,0,240,9,False,True,False,True,False,False
1020250001638,"플러그 가능 메모리 장치, 메모리 어플라이언스 및 이를 포함하는 컴퓨팅 시스템{PLUGGABLE MEMORY",에스케이하이닉스 주식회사,20250106,G06F 3/0604,G,40,4,36,⑥ 장치+장치,장치|장치|물건|시스템,25123,428,78,21,0,0,24,0,119,22,False,True,False,False,False,False
1020250002984,"중복되는 논리어드레스에 대한 라이트 데이터를 관리하는 데이터 저장 장치 및 그 동작 방법, 이를 위한 메모리",에스케이하이닉스 주식회사,20250108,G06F 3/0616,G,13,3,10,② 순수형,장치|장치|방법,17696,228,109,9,0,0,9,3,301,8,False,True,False,False,False,False
1020240198168,생성형 ＡＩ를 활용한 스마트 팩토리 2Ｄ 레이아웃 도면 컨셉 설계 장치{Apparatus for Design,주식회사 디엔지니어,20241227,G06F 30/27,G,6,1,5,⑨ 장치단독,장치,11384,473,260,2,0,0,2,4,69,4,False,True,True,False,False,False
1020250065226,"자가 골수 흡인 농축물을 유효 성분으로 하는 연골 재생, 관절염 치료 조성물 추출방법 및 그 조성물¶자가 골",주식회사 리스템바이오,20250520,A61K 35/28	(2015.01),A,6,2,4,⑩ 방법단독,방법|물건,3167,1472,219,1,0,0,1,0,0,4,True,True,False,False,False,False
1020250022676,임대차 계약 관리 및 리워드 지급 시스템{RENTAL CONTRACT MANAGEMENT AND REWARD,데브디 주식회사,20250221,G06Q 50/16,G,1,1,0,기타,기억매체,25290,588,108,1,0,0,1,3,254,0,False,True,False,False,False,False
1020250123449,제품 상세 페이지 이미지에 대한 검색 엔진 최적화 방법{METHOD FOR SEARCH ENGINE OPTI,주식회사 큐팁,20250901,G06F 16/5846,G,1,1,0,기타,기억매체,40043,217,119,0,0,0,0,0,280,0,False,True,False,False,False,False
1020250016419,콘크리트 구조물의 중성화 측정장치,(주)건설기술원,20250210,G01N 21/78	(2006.01),G,4,1,3,⑨ 장치단독,장치,6820,1640,84,2,0,0,2,0,40,3,False,True,True,False,False,False
1020240179428,마사지 기능이 구비된 침대 매트리스,주식회사 아유케어,20241205,A61H 15/00	(2006.01),A,5,1,4,⑪ 물건단독,물건,3181,509,102,0,0,3,4,1,59,1,False,True,False,False,False,False
1020250069781,영상기기 삽입형 상부 개폐용 칠판,딥스원(주),20250528,A47B 97/00	(2006.01),A,8,1,7,⑨ 장치단독,장치,13377,1258,180,2,0,2,18,0,357,0,True,True,False,False,False,False
1020240193053,시각적 데이터 활용 인공지능 기반 다국어 대응 시스템,주식회사 룬샷컴퍼니,20241220,G06F 9/451	(2018.01),G,2,1,1,기타,기억매체,55014,1192,338,2,0,0,2,3,103,0,False,True,False,False,False,False
