출원번호,발명의 명칭,출원일자,CPC,독립항 수,종속항 수
1020220016760,반도체 장치 및 전자 기기,20220209,H03K 17/30,7,5
1020220016312,"규제 블레이드의 고정 방법, 현상 장치, 현상제 담지체 및 마그네트",20220208,G03G 15/09,6,77
1020220016072,"위치 검출 장치, 위치 검출 시스템, 위치 검출 방법 및 위치 검출 프로그램",20220208,G01B 7/00,14,7
1020220016350,"기록 장치, 제어 방법 및 저장 매체",20220208,B41J 2/165,18,27
1020220016159,에칭 방법 및 에칭 장치,20220208,H01L 21/3213,8,3
1020220015955,"이트륨 플루오라이드 분무된 코팅, 이를 위한 분무 물질, 및 분무된 코팅을 포함하는 내식성 코팅",20220208,C23C 4/04,3,0
1020227039872,도금 장치,20220207,C25D 17/00,5,2
1020220015305,"2차 전지용 양극, 2차 전지, 및 이들의 제조 방법",20220207,H01M 4/1397,1,7
1020227039396,도금 장치 및 도금 방법,20220131,C25D 17/00,5,6
1020220013578,EL 표시 장치,20220128,H01L 27/12,1,1
1020220012311,작업 차,20220127,G05D 1/02,4,17
1020220011206,세정 유닛 및 세정 약액 공급 장치,20220126,H01L 21/67,4,2
1020220005733,"기록 장치, 제어 방법 및 저장 매체",20220114,B41J 2/165,3,21
1020220005766,"상부 암 구동 회로, 전력 변환 장치의 구동 회로, 전력 변환 장치",20220114,H02M 7/5387,3,13
1020220002564,임프린트 장치 및 물품 제조 방법,20220107,G03F 7/00,4,8
1020220002760,"회계 처리 시스템, 쿠폰 관리 장치 및 그 제어 프로그램",20220107,G06Q 30/02,3,14
1020210193316,"수지 조성물, 수지 필름, 수지 필름의 제조 방법, 반도체 장치의 제조 방법 및 반도체 장치",20211230,C08G 59/42,5,6
1020210190573,반도체 기판의 제조 방법 및 당해 제조 방법으로 얻어지는 반도체 기판,20211229,H01L 21/321,2,4
1020210189337,"압축기 유닛, 압축기 유닛의 제어 프로그램이 기억된 기억 매체 및 압축기 유닛의 제어 방법",20211228,F04C 28/24,3,6
1020227025386,도금 장치의 메인터넌스 방법,20211220,C25D 21/18,3,4
1020210182652,"트랜지스터, 액정 표시 장치 및 그 제조 방법",20211220,G02F 1/1362,15,0
1020210182790,"기판 적재대, 기판 처리 장치 및 기판 처리 방법",20211220,H01L 21/683,7,5
1020210181366,무알칼리 유리,20211217,C03C 3/091,1,1
1020227030694,차아염소산수,20211216,C01B 11/04,1,1
1020210177383,"발광 소자, 발광 장치, 전자 기기, 및 조명 장치",20211213,H01L 51/50,2,3
