출원번호,사무소,대리인,MainCPC,CPC섹션,도입_도면목록선행,도입_용어정의선행,JP_실시형태,실시형태_횟수,실시예_횟수,실시용어_주,실시예구조,복수실시예_마커수,변형예_유무,수치한정_빈도,용어_실질정의,용어_보일러플레이트,용어_서수사,용어_인라인약칭,도면참조_방식,도면수,도면참조_per1000자,도면당_분량,전개앵커,전개앵커_v2.1,EMB_분량,BG_분량,효과_채움,효과_정성,면책_도입,면책_말미,면책_전체,JP변형예
1020217029619,jang,장수길¶박상돈¶이중희,B60T,B,1,0,1,1,50,실시예,복수,39,1,0.0,0,0,0,0,혼용,10,17.8,1535,도면-공간,,15353,284,1,0,1,0,1,1
1020217029142,jang,장수길¶홍미란¶박보현,H01L,H,0,0,1,18,33,실시예,단일,0,0,3.6,0,0,0,1,소수,4,3.4,8346,실험-수치,,33385,959,1,1,0,0,1,0
1020200019586,jang,장수길¶이중희,H04N,H,0,0,1,61,0,실시형태,복수,34,1,0.3,0,0,0,0,혼용,12,12.1,1217,동작-시간,,14599,732,0,0,0,1,1,0
1020217005362,jang,장수길¶정석현¶성재동,E02F,E,0,0,1,28,0,실시형태,단일,0,1,0.4,0,0,0,0,혼용,19,25.4,1542,도면-공간,,29304,1193,1,1,0,0,1,1
1020217005215,jang,장수길¶정석현¶성재동,B60L,B,0,0,1,12,6,실시형태,단일,0,1,4.0,0,0,0,0,혼용,4,25.7,2124,도면-공간,,8497,407,1,0,0,0,1,1
1020217031106,jang,장수길¶서원대¶박봉훈,B63B,B,0,0,1,11,0,실시형태,단일,0,1,0.8,0,0,0,0,혼용,5,28.1,1308,도면-공간,,6540,388,1,1,0,1,1,0
1020207037097,jang,장수길¶박충범,C09J,C,0,0,1,6,12,실시예,단일,0,1,6.2,0,0,0,0,소수,7,4.6,5586,실험-수치,,39102,1736,1,0,0,0,1,0
1020200023728,jang,장수길¶박보현,C07F,C,0,0,0,0,9,실시예,단일,0,0,11.3,0,0,0,0,없음(도면무),0,4.7,0,실험-수치,,8567,382,1,1,0,0,1,0
1020200024055,jang,장수길¶이중희,G06F,G,0,0,1,1,21,실시예,복수,4,1,0.1,0,0,0,0,혼용,9,19.8,1686,동작-시간,,15172,1248,0,0,0,0,1,0
1020217037789,jang,장수길¶성재동,B21B,B,0,0,1,35,0,실시형태,복수,20,0,0.8,0,0,0,0,혼용,12,11.6,2173,도면-공간,,26071,353,1,0,0,0,1,1
1020200023442,jang,장수길¶성재동,C09J,C,0,0,0,0,16,실시예,단일,0,0,7.4,0,0,0,1,소수,4,2.1,11474,실험-수치,,45896,1242,1,1,0,0,1,0
1020200032544,jang,장수길¶이중희,H01L,H,0,0,1,38,0,실시형태,복수,21,0,3.2,0,0,0,0,혼용,8,24.6,1722,도면-공간,,13779,884,0,0,1,1,1,0
1020217037042,jang,장수길¶이중희,H04W,H,0,0,1,29,0,실시형태,단일,0,0,0.2,0,0,0,0,혼용,5,18.5,3573,도면-공간,,17867,418,1,0,0,1,1,0
1020217024186,jang,장수길¶박상돈¶이중희,G01M,G,0,0,1,68,0,실시형태,복수,51,1,1.5,0,0,0,0,혼용,17,17.1,1817,실험-수치,,30895,500,1,1,0,0,1,1
1020207031583,jang,장수길¶김승식¶박충범,H04L,H,0,0,1,25,0,실시형태,복수,10,0,0.2,0,0,0,0,인라인주도,12,3.6,1580,도면-공간,,18962,384,0,0,0,0,0,1
1020207037146,jang,장수길¶박충범,C09J,C,0,0,1,7,12,실시예,단일,0,1,6.3,0,0,0,0,소수,7,4.6,5560,실험-수치,,38922,1731,1,0,0,0,1,0
1020200024773,jang,장수길,B41J,B,0,0,1,16,0,실시형태,복수,11,1,1.0,0,0,0,0,혼용,7,26.0,2530,도면-공간,,17707,443,1,0,0,0,0,0
1020200027535,jang,장수길¶이중희,H04B,H,0,0,1,1,20,실시예,단일,0,1,0.1,0,0,0,0,혼용,9,17.3,2745,동작-시간,,24709,744,0,0,1,1,1,0
1020200029381,jang,장수길¶성재동,G01R,G,0,0,1,11,3,실시형태,단일,0,1,0.0,0,0,0,0,혼용,6,31.8,1354,도면-공간,,8122,311,1,1,0,0,0,1
1020200030172,jang,장수길¶신수범¶이석재,H01M,H,0,0,1,32,68,실시예,단일,0,0,6.1,0,0,0,1,소수,2,1.8,20736,실험-수치,,41473,1290,1,1,0,0,1,0
1020200032129,jang,장수길,H01L,H,0,0,1,56,0,실시형태,복수,50,1,0.3,0,0,0,0,혼용,22,18.9,1691,도면-공간,,37199,659,1,0,0,0,0,0
1020200034327,jang,장수길¶김진백¶박봉훈,H01G,H,1,0,1,28,0,실시형태,단일,0,1,3.5,0,0,0,0,소수,11,5.9,2336,실험-수치,,25701,214,0,0,0,1,1,0
1020200023471,jang,장수길¶김승식¶박충범,H04N 21/2385	(2011.01),H,0,0,0,0,37,실시예,단일,0,1,0.1,0,0,0,0,혼용,16,19.1,1813,도면-공간,,29003,416,1,0,0,0,1,0
1020200028780,jang,장수길¶정철환¶박봉훈,B23K 35/26	(2006.01),B,0,0,0,0,8,실시예,단일,0,0,14.3,0,0,0,0,인라인주도,2,6.1,5122,실험-수치,,10245,1473,0,0,0,0,1,0
1020207025191,jang,장수길¶성재동,B22F,B,0,0,1,17,21,실시예,단일,0,1,7.6,0,0,0,0,없음(도면무),0,0.3,0,실험-수치,,10910,701,1,0,0,0,0,0
1020217019447,jang,장수길¶최인호¶성재동,D06M,D,0,0,1,1,41,실시예,단일,0,0,8.7,0,0,0,0,없음(도면무),0,0.3,0,실험-수치,,37181,1449,1,1,0,0,1,0
1020217031894,jang,장수길¶성재동,C09J,C,0,0,0,0,22,실시예,단일,0,0,3.5,0,0,0,0,없음(도면무),0,0.6,0,실험-수치,,39207,665,1,0,0,0,1,1
1020207025193,jang,장수길¶성재동,B22F,B,0,0,1,11,13,실시예,단일,0,1,7.5,0,0,0,0,소수,3,0.6,2973,실험-수치,,8918,701,1,0,0,0,0,0
1020190172630,jang,장수길¶이제형¶이석재,G03F,G,0,0,1,2,32,실시예,단일,0,1,3.9,0,0,0,0,없음(도면무),0,0.5,0,실험-수치,,51852,1296,1,1,0,0,1,0
1020190173622,jang,장수길¶홍미란¶박보현,C08J,C,0,1,1,1,42,실시예,단일,0,1,4.5,1,0,0,0,없음(도면무),0,1.0,0,실험-수치,,70474,2871,0,0,0,0,1,1
